Column,Meaning,Data Type,Unit,Allowed Range,Median
age,Age of the individual in years,numeric,,17-90,37.0
workclass,"Employment type (private, self-employed, government, etc.)",categorical (ordinal-encoded),code,0-6 (0=Federal-gov; 1=Local-gov; 2=Private; 3=Self-emp-inc; 4=Self-emp-not-inc; 5=State-gov; 6=Without-pay),2.0
fnlwgt,Census final sampling weight for the record,numeric,,13492-1490400,178316.0
education,Highest level of education attained,categorical (ordinal-encoded),code,0-15 (0=10th; 1=11th; 2=12th; 3=1st-4th; 4=5th-6th; 5=7th-8th; 6=9th; 7=Assoc-acdm; 8=Assoc-voc; 9=Bachelors; 10=Doctorate; 11=HS-grad; 12=Masters; 13=Preschool; 14=Prof-school; 15=Some-college),11.0
education-num,Highest education level encoded as an ordinal number,numeric,,1-16,10.0
marital-status,Marital status category,categorical (ordinal-encoded),code,0-6 (0=Divorced; 1=Married-AF-spouse; 2=Married-civ-spouse; 3=Married-spouse-absent; 4=Never-married; 5=Separated; 6=Widowed),2.0
occupation,Occupation category,categorical (ordinal-encoded),code,0-13 (0=Adm-clerical; 1=Armed-Forces; 2=Craft-repair; 3=Exec-managerial; 4=Farming-fishing; 5=Handlers-cleaners; 6=Machine-op-inspct; 7=Other-service; 8=Priv-house-serv; 9=Prof-specialty; 10=Protective-serv; 11=Sales; 12=Tech-support; 13=Transport-moving),6.0
relationship,Relationship role within the household,categorical (ordinal-encoded),code,0-5 (0=Husband; 1=Not-in-family; 2=Other-relative; 3=Own-child; 4=Unmarried; 5=Wife),1.0
race,Self-reported race category,categorical (ordinal-encoded),code,0-4 (0=Amer-Indian-Eskimo; 1=Asian-Pac-Islander; 2=Black; 3=Other; 4=White),4.0
sex,Self-reported sex,categorical (ordinal-encoded),code,0-1 (0=Female; 1=Male),1.0
capital-gain,Capital gains recorded for the year,numeric,,0-99999,0.0
capital-loss,Capital losses recorded for the year,numeric,,0-4356,0.0
hours-per-week,Hours worked per week,numeric,,1-99,40.0
native-country,Country of origin,categorical (ordinal-encoded),code,0-40 (0=Cambodia; 1=Canada; 2=China; 3=Columbia; 4=Cuba; 5=Dominican-Republic; 6=Ecuador; 7=El-Salvador; 8=England; 9=France; 10=Germany; 11=Greece; 12=Guatemala; 13=Haiti; 14=Holand-Netherlands; 15=Honduras; 16=Hong; 17=Hungary; 18=India; 19=Iran; 20=Ireland; 21=Italy; 22=Jamaica; 23=Japan; 24=Laos; 25=Mexico; 26=Nicaragua; 27=Outlying-US(Guam-USVI-etc); 28=Peru; 29=Philippines; 30=Poland; 31=Portugal; 32=Puerto-Rico; 33=Scotland; 34=South; 35=Taiwan; 36=Thailand; 37=Trinadad&Tobago; 38=United-States; 39=Vietnam; 40=Yugoslavia),38.0
